id,name,picture
1,Rizkey G,http://ccmixter.org/content/RizkeyG/hqdefault93x9493x94.jpg,0x6fF1DEbe1E65ee09dcf6d9aE16DAccb72cbf7b6c
2,airtone,http://ccmixter.org/content/airtone/451475C6-72AB-4ACD-8913-ECC574DE23FD93x94.jpeg,art.thecryptoguy.eth
